Date,1/1/2005
Number of sexual partners- Turkey,14.5
Number of sexual partners- Australia,13.3
Number of sexual partners- New Zealand,13.2
Number of sexual partners- Iceland,13
Number of sexual partners- South Africa,12.5
Number of sexual partners- Finland,12.4
Number of sexual partners- Norway,12.1
Number of sexual partners- Italy,11.8
Number of sexual partners- Sweden,11.8
Number of sexual partners- Ireland,11.1
Number of sexual partners- Switzerland,11.1
Number of sexual partners- Canada,10.7
Number of sexual partners- United States,10.7
Number of sexual partners- Greece,10.6
Number of sexual partners- Israel,10.6
Number of sexual partners- Thailand,10.6
Number of sexual partners- Japan,10.2
Number of sexual partners- Chile,10.1
Number of sexual partners- Serbia & Montenegro,10.1
Number of sexual partners- United Kingdom,9.8
Number of sexual partners- Austria,9.7
Number of sexual partners- Denmark,9.3
Number of sexual partners- Bulgaria,9.1
Number of sexual partners- Czech Republic,9
Number of sexual partners- France,8.1
Number of sexual partners- Croatia,7.5
Number of sexual partners- Belgium,7.5
Number of sexual partners- Singapore,7.2
Number of sexual partners- Netherlands,7
Number of sexual partners- Portugal,7
Number of sexual partners- Taiwan,6.6
Number of sexual partners- Spain,6.1
Number of sexual partners- Poland,6
Number of sexual partners- Germany,5.8
Number of sexual partners- Malaysia,5.8
Number of sexual partners- Slovakia,5.4
Number of sexual partners- Indonesia,5.1
Number of sexual partners- Hong Kong,3.7
Number of sexual partners- Vietnam,3.2
Number of sexual partners- China,3.1
Number of sexual partners- India,3
Number of sexual partners- Global,9
